iter	Passed	Remaining
0	148	148405
1	150	75276
2	152	50821
3	155	38736
4	158	31449
5	160	26547
6	162	23025
7	164	20422
8	167	18391
9	169	16742
10	172	15516
11	174	14389
12	177	13451
13	179	12646
14	182	11952
15	184	11331
16	186	10769
17	187	10224
18	188	9727
19	189	9281
20	190	8876
21	191	8510
22	192	8173
23	193	7866
24	194	7579
25	195	7312
26	196	7069
27	197	6845
28	198	6639
29	199	6442
30	200	6257
31	201	6088
32	202	5925
33	203	5770
34	204	5625
35	204	5488
36	205	5359
37	206	5236
38	207	5120
39	208	5010
40	209	4905
41	210	4806
42	211	4714
43	212	4623
44	213	4534
45	214	4451
46	215	4370
47	216	4292
48	217	4219
49	218	4149
50	219	4080
51	220	4015
52	221	3951
53	222	3890
54	222	3831
55	223	3775
56	225	3724
57	226	3672
58	227	3625
59	228	3575
60	229	3527
61	230	3480
62	231	3436
63	231	3392
64	232	3349
65	233	3308
66	234	3268
67	235	3228
68	236	3189
69	237	3151
70	238	3115
71	238	3079
72	239	3045
73	240	3011
74	241	2981
75	242	2950
76	243	2919
77	244	2889
78	245	2861
79	246	2832
80	247	2804
81	248	2777
82	248	2746
83	249	2720
84	250	2695
85	251	2669
86	252	2645
87	252	2621
88	253	2599
89	254	2576
90	255	2553
91	256	2532
92	257	2510
93	258	2489
94	259	2468
95	260	2449
96	261	2431
97	262	2411
98	262	2392
99	263	2373
100	264	2355
101	265	2337
102	266	2319
103	267	2302
104	268	2286
105	269	2269
106	270	2253
107	270	2237
108	272	2223
109	272	2208
110	273	2192
111	274	2177
112	275	2162
113	276	2148
114	277	2134
115	278	2120
116	278	2105
117	279	2091
118	280	2078
119	281	2064
120	282	2052
121	283	2038
122	284	2026
123	285	2014
124	286	2002
125	286	1990
126	287	1977
127	288	1966
128	289	1955
129	290	1944
130	291	1932
131	292	1922
132	293	1910
133	293	1899
134	294	1889
135	295	1878
136	296	1868
137	297	1857
138	298	1847
139	299	1837
140	300	1828
141	300	1817
142	301	1808
143	302	1799
144	303	1790
145	304	1781
146	305	1772
147	306	1763
148	307	1754
149	308	1745
150	308	1736
151	309	1728
152	310	1720
153	311	1712
154	312	1703
155	313	1695
156	314	1687
157	315	1680
158	316	1673
159	317	1667
160	318	1658
161	319	1650
162	319	1643
163	321	1636
164	321	1629
165	322	1621
166	323	1614
167	324	1607
168	325	1600
169	326	1593
170	327	1586
171	328	1580
172	329	1573
173	330	1567
174	331	1560
175	331	1553
176	332	1547
177	333	1540
178	334	1534
179	335	1527
180	336	1521
181	337	1515
182	338	1509
183	338	1503
184	339	1496
185	340	1491
186	341	1485
187	342	1479
188	343	1473
189	344	1469
190	345	1463
191	346	1458
192	347	1452
193	348	1446
194	349	1441
195	350	1436
196	350	1430
197	351	1425
198	352	1419
199	353	1414
200	354	1409
201	355	1403
202	356	1398
203	357	1393
204	358	1388
205	358	1383
206	359	1378
207	360	1373
208	361	1368
209	362	1363
210	363	1359
211	364	1354
212	365	1350
213	366	1345
214	367	1340
215	368	1335
216	368	1331
217	369	1326
218	370	1321
219	371	1317
220	372	1312
221	373	1308
222	374	1303
223	375	1299
224	376	1295
225	377	1291
226	377	1287
227	378	1282
228	379	1278
229	380	1274
230	381	1270
231	382	1266
232	383	1262
233	384	1258
234	385	1254
235	386	1249
236	386	1245
237	387	1241
238	388	1237
239	389	1234
240	390	1230
241	391	1226
242	392	1222
243	393	1219
244	394	1215
245	395	1211
246	396	1208
247	397	1204
248	398	1200
249	398	1196
250	399	1192
251	400	1189
252	401	1185
253	402	1181
254	403	1177
255	404	1174
256	405	1170
257	405	1167
258	406	1164
259	407	1160
260	408	1157
261	409	1153
262	410	1150
263	411	1147
264	412	1143
265	413	1140
266	414	1136
267	414	1133
268	415	1129
269	416	1126
270	417	1122
271	418	1119
272	419	1116
273	420	1113
274	421	1110
275	422	1107
276	423	1104
277	423	1100
278	424	1097
279	425	1094
280	426	1091
281	427	1088
282	428	1085
283	429	1082
284	430	1078
285	430	1075
286	431	1072
287	432	1070
288	433	1067
289	434	1064
290	435	1061
291	436	1058
292	437	1055
293	438	1052
294	439	1050
295	440	1047
296	441	1044
297	442	1041
298	442	1038
299	443	1035
300	444	1032
301	445	1030
302	446	1027
303	447	1024
304	448	1021
305	449	1019
306	450	1016
307	451	1013
308	452	1011
309	453	1008
310	454	1005
311	454	1003
312	455	1000
313	456	997
314	457	995
315	458	992
316	459	989
317	460	987
318	461	984
319	461	981
320	462	978
321	463	976
322	464	974
323	465	971
324	466	969
325	467	966
326	468	964
327	469	961
328	470	959
329	471	956
330	472	954
331	472	951
332	473	949
333	474	946
334	475	944
335	476	941
336	477	939
337	478	936
338	479	934
339	480	932
340	481	929
341	482	927
342	482	924
343	483	922
344	484	920
345	485	918
346	486	915
347	487	913
348	488	910
349	489	908
350	489	905
351	490	903
352	491	901
353	492	898
354	493	896
355	494	893
356	495	891
357	496	889
358	497	887
359	497	885
360	498	882
361	499	880
362	500	878
363	501	875
364	502	873
365	503	871
366	503	869
367	504	866
368	505	864
369	506	862
370	507	860
371	508	858
372	509	856
373	510	854
374	511	852
375	512	850
376	513	848
377	514	846
378	515	844
379	516	842
380	517	840
381	518	838
382	519	836
383	520	834
384	521	832
385	522	830
386	523	828
387	523	826
388	524	824
389	525	822
390	526	820
391	527	818
392	528	816
393	529	814
394	531	813
395	532	811
396	532	809
397	533	807
398	534	805
399	536	804
400	537	802
401	538	800
402	539	798
403	540	796
404	541	794
405	542	793
406	542	791
407	543	788
408	544	787
409	545	785
410	546	783
411	547	781
412	548	779
413	549	777
414	550	775
415	550	773
416	551	771
417	552	769
418	553	767
419	554	765
420	555	763
421	556	761
422	556	759
423	557	757
424	558	755
425	559	753
426	560	752
427	561	750
428	562	748
429	563	746
430	564	744
431	565	743
432	566	741
433	567	739
434	568	738
435	569	736
436	569	734
437	570	732
438	571	730
439	572	728
440	573	727
441	574	725
442	575	723
443	576	721
444	577	719
445	578	718
446	579	716
447	579	714
448	580	712
449	581	711
450	582	709
451	583	707
452	584	705
453	585	703
454	586	701
455	586	700
456	587	698
457	588	696
458	589	695
459	590	693
460	591	691
461	592	689
462	593	688
463	594	686
464	595	684
465	596	683
466	596	681
467	597	679
468	598	677
469	599	676
470	600	674
471	601	672
472	602	671
473	603	669
474	604	667
475	604	665
476	605	664
477	606	662
478	607	660
479	608	659
480	609	657
481	610	655
482	611	654
483	611	652
484	612	650
485	613	649
486	614	647
487	615	645
488	616	644
489	617	642
490	618	641
491	619	639
492	620	637
493	621	636
494	621	634
495	622	632
496	623	631
497	624	629
498	625	627
499	626	626
500	627	624
501	628	623
502	628	621
503	629	619
504	630	618
505	631	616
506	632	614
507	633	613
508	634	611
509	635	610
510	636	608
511	637	607
512	638	605
513	638	604
514	639	602
515	640	600
516	641	599
517	642	597
518	643	596
519	644	594
520	645	593
521	645	591
522	646	589
523	647	588
524	648	586
525	649	585
526	650	583
527	651	582
528	652	580
529	652	579
530	653	577
531	654	575
532	655	574
533	656	572
534	657	571
535	658	569
536	659	568
537	660	566
538	661	565
539	661	563
540	662	562
541	663	560
542	664	559
543	665	557
544	666	556
545	667	554
546	668	553
547	669	551
548	669	550
549	670	548
550	671	547
551	672	545
552	673	544
553	674	543
554	675	541
555	676	540
556	677	538
557	678	537
558	679	535
559	680	534
560	680	532
561	681	531
562	682	529
563	683	528
564	684	526
565	685	525
566	686	523
567	686	522
568	687	521
569	689	519
570	690	518
571	691	517
572	691	515
573	692	514
574	693	512
575	694	511
576	695	509
